"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"26","[990] exibeDivConfirmaAutuacaoRecorrenteOutroRecurso","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AutuaRecurso\AutuaRecursoPeca.xhtml?19:8-133:8?71:4-81:5",1,2,2,0,0,0,3,0,1,5,1
"27","[995] exibeDivConfirmaAutuacaoRecorrenteOutroRecurso","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AutuaRecurso\AutuaRecurso.xhtml?19:8-122:8?70:4-80:5",1,2,2,0,0,0,3,0,1,5,1
"28","[1008] cancelarAutuacao","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\AutuaProcesso\AutuaProcessoAdministrativo.xhtml?24:13-85:5?48:16-59:17",2,2,2,0,0,0,4,0,0,6,1
"29","[1046] 39:13-113:13?58:24-72:25 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Apensar.xhtml?39:13-113:13?58:24-72:25",1,3,1,0,0,0,5,0,0,4,1
"30","[1055] verificaVisibilidadeModalDocumentoaAgAnalise","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?88:4-96:5",1,2,1,0,0,0,3,0,0,4,1
"31","[1056] abreJanelaAssinaturaDocumento","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?66:4-81:5",2,3,2,0,0,0,3,0,0,5,1
"32","[1059] 22:5-140:5?22:58-29:9 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?22:58-29:9",1,2,1,0,0,0,4,0,0,3,1
"33","[1061] 22:5-140:5?11:44-18:9 (expr)","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?11:44-18:9",1,2,1,0,0,0,4,0,0,3,1
"34","[1068] ativarPesquisaComEnter","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaMinXX.html?12:8-149:8?112:2-120:3",0,3,1,0,0,1,3,0,1,4,1
"35","[1092] ativarPesquisaComEnter","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\MesaTrabalho\EGestao\Sessao\PesquisaAvancadaDistribuidos.html?12:8-149:8?112:2-119:9",0,3,1,0,0,1,3,0,1,4,1
"36","[1107] esconderPainelComentario","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\VisualizaProcesso\VisualizaProcesso.html?289:32-479:32?145:5-155:6",1,3,1,0,0,0,3,0,1,5,1
"37","[1137] setEventListener","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\scripts\egestao.js?284:0-293:1",0,3,2,0,0,1,2,0,1,5,1
"38","[1138] desabilitarF5","D:\github\fontes2\takeOut\egestao\src\main\webapp\Web\EGestao\scripts\egestao.js?274:0-282:1",0,3,2,0,0,1,2,0,1,5,1
"39","[1320] abreJanelaAssinaturaDocumento","D:\github\fontes2\takeOut\edoc\src\main\webapp\Web\eDoc\AnexarDocumentos\AnexarDocumentos.xhtml?17:6-145:1?103:8-118:9",2,3,2,0,0,0,3,0,1,5,1
"40","[15] doClick","D:\github\fontes2\takeOut\shared-mesatrabalhojsf12\src\main\webapp\Web\MesaTrabalho\MesaGenerica.html?19:1-418:1?390:0-395:1",1,1,1,0,0,1,2,0,0,1,2
"41","[56] keyDown","D:\github\fontes2\takeOut\shared-corporativo\src\main\webapp\Web\Shared\scripts\rotinascontroles.js?325:0-333:1",1,1,1,0,0,1,1,0,0,2,2
"42","[353] processaoAlteracaoComboSessoesCandidatas","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\Sessao\CancelarSessao.xhtml?13:8-67:8?38:2-45:3",1,2,1,0,0,0,3,0,0,2,2
"43","[386] verificarSeRedimensionarTela","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\webapp\web\ModeloDocumento\CopiarVariosModelos.xhtml?42:5-201:9?151:8-157:10",1,1,1,0,0,0,3,0,0,3,2
"44","[472] verificarSeRedimensionarTela","D:\github\fontes2\takeOut\sagas2\sagas2Web\src\main\resources\META-INF\resources\js\modelo_documento_pesquisar.js?98:0-103:2",1,1,1,0,0,1,3,0,0,3,2
"45","[489] abrirAba","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\TabelasBasicasAdm\TabelasBasicasAdm.xhtml?38:8-82:5?4:1-9:2",1,1,1,0,0,1,2,0,0,2,2
"46","[517] exibeModal","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\PopupEditarRepresentacaoLegal.xhtml?20:9-64:9?38:16-43:17",1,1,1,0,0,0,1,0,0,0,2
"47","[525] abrePopupEditar","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\EditarRepresentacoesLegais.xhtml?12:5-30:5?12:12-17:10",1,1,1,0,0,0,1,0,0,2,2
"48","[531] seExibeModalCpfJaCadastrado","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?67:16-72:17",1,1,1,0,0,0,1,0,0,1,2
"49","[532] seExibeModalIncluirPessoaOutros","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?59:16-64:17",1,1,1,0,0,0,1,0,0,1,2
"50","[533] seExibeModalIncluirPessoa","D:\github\fontes2\takeOut\eproc\src\main\webapp\Web\eProc\RepresentanteLegal\CadastrarRepresentacaoLegal.xhtml?30:9-171:9?51:16-56:17",1,1,1,0,0,0,1,0,0,1,2
